Curtesy of Kingdom Hearts Birth by Sleep - Ventus's Stats

 ________________________________________________________ 
| Level |  HP  |  MP  | PA | MA | Def | Pow | Experience |
|========================================================|
|     1 |  50  |  50  |  7 |  7 |   9 | 1.0 |          0 |
|     2 |  50  |  50  |  7 |  8 |  11 | 1.0 |         22 |
|     3 |  50  |  50  |  8 |  8 |  11 | 1.0 |         47 |
|     4 |  50  |  50  |  8 |  9 |  11 | 1.0 |         75 |
|     5 |  55  |  50  |  9 |  9 |  12 | 1.0 |        107 |
|     6 |  55  |  50  |  9 | 10 |  12 | 1.0 |        142 |
|     7 |  55  |  50  | 10 | 10 |  12 | 1.0 |        182 |
|     8 |  55  |  50  | 10 | 11 |  14 | 1.0 |        227 |
|     9 |  55  |  50  | 11 | 11 |  14 | 1.0 |        278 |
|    10 |  60  |  60  | 11 | 12 |  14 | 1.1 |        334 |
|    11 |  60  |  60  | 12 | 12 |  14 | 1.1 |        397 |
|    12 |  60  |  60  | 12 | 12 |  15 | 1.1 |        468 |
|    13 |  60  |  60  | 12 | 13 |  15 | 1.1 |        547 |
|    14 |  60  |  60  | 13 | 13 |  15 | 1.1 |        635 |
|    15 |  65  |  60  | 13 | 13 |  17 | 1.1 |        734 |
|    16 |  65  |  60  | 13 | 14 |  17 | 1.1 |        845 |
|    17 |  65  |  60  | 14 | 14 |  17 | 1.1 |        968 |
|    18 |  65  |  60  | 14 | 15 |  18 | 1.1 |       1105 |
|    19 |  65  |  60  | 15 | 15 |  18 | 1.1 |       1256 |
|    20 |  75  |  70  | 15 | 16 |  18 | 1.2 |       1424 |
|    21 |  75  |  70  | 16 | 16 |  20 | 1.2 |       1610 |
|    22 |  75  |  70  | 16 | 17 |  20 | 1.2 |       1814 |
|    23 |  75  |  70  | 17 | 17 |  20 | 1.2 |       2038 |
|    24 |  75  |  70  | 17 | 18 |  20 | 1.2 |       2284 |
|    25 |  80  |  70  | 18 | 18 |  21 | 1.2 |       2552 |
|    26 |  80  |  70  | 18 | 19 |  21 | 1.2 |       2844 |
|    27 |  80  |  70  | 19 | 19 |  21 | 1.2 |       3160 |
|    28 |  80  |  70  | 19 | 20 |  22 | 1.2 |       3505 |
|    29 |  80  |  70  | 20 | 20 |  22 | 1.2 |       3879 |
|    30 |  85  |  80  | 20 | 21 |  22 | 1.3 |       4288 |
|    31 |  85  |  80  | 21 | 21 |  22 | 1.3 |       4737 |
|    32 |  85  |  80  | 21 | 22 |  22 | 1.3 |       5234 |
|    33 |  85  |  80  | 22 | 22 |  22 | 1.3 |       5786 |
|    34 |  85  |  80  | 22 | 23 |  24 | 1.3 |       6402 |
|    35 |  95  |  80  | 23 | 23 |  24 | 1.3 |       7094 |
|    36 |  95  |  80  | 23 | 24 |  25 | 1.3 |       7873 |
|    37 |  95  |  80  | 24 | 24 |  25 | 1.3 |       8753 |
|    38 |  95  |  80  | 24 | 25 |  25 | 1.3 |       9757 |
|    39 |  95  |  80  | 25 | 25 |  27 | 1.3 |      10921 |
|    40 | 105  |  90  | 25 | 26 |  27 | 1.4 |      12265 |
|    41 | 105  |  90  | 26 | 26 |  27 | 1.4 |      13870 |
|    42 | 105  |  90  | 26 | 27 |  28 | 1.4 |      15774 |
|    43 | 105  |  90  | 27 | 27 |  28 | 1.4 |      18028 |
|    44 | 105  |  90  | 27 | 28 |  28 | 1.4 |      20682 |
|    45 | 110  |  90  | 28 | 28 |  30 | 1.4 |      23787 |
|    46 | 110  |  90  | 28 | 29 |  30 | 1.4 |      27391 |
|    47 | 110  |  90  | 29 | 29 |  30 | 1.4 |      31245 |
|    48 | 110  |  90  | 29 | 30 |  31 | 1.4 |      35349 |
|    49 | 110  |  90  | 30 | 30 |  31 | 1.4 |      39704 |
|    50 | 120  | 100  | 30 | 31 |  31 | 1.5 |      44308 |
*========================================================*
